DEM,SLOPE,Distance,AUC,fpr,tpr,thresholds
090,003,006,0.6608816837006224,"[0.00000000e+00 6.84254543e-04 1.36850909e-03 ... 9.97643123e-01
 9.98403406e-01 1.00000000e+00]",[0.         0.00952381 0.01190476 ... 1.         1.         1.        ],"[1.99999091e+00 9.99990909e-01 9.99527273e-01 ... 6.06060606e-06
 3.03030303e-06 0.00000000e+00]"
055,020,023,0.7384483170596605,"[0.00000000e+00 6.84254543e-04 2.05276363e-03 ... 9.97643123e-01
 9.98403406e-01 1.00000000e+00]",[0.         0.00952381 0.01428571 ... 1.         1.         1.        ],"[1.99995612e+00 9.99956122e-01 9.80201020e-01 ... 2.34693878e-05
 2.04081633e-05 0.00000000e+00]"
015,026,058,0.8205658314416773,"[0.00000000e+00 6.84254543e-04 2.05276363e-03 ... 9.97491067e-01
 9.98403406e-01 1.00000000e+00]",[0.         0.00952381 0.01428571 ... 1.         1.         1.        ],"[1.99991515e+00 9.99915152e-01 9.94581818e-01 ... 2.62626263e-05
 1.51515152e-05 0.00000000e+00]"
027,042,030,0.7522646924655972,"[0.00000000e+00 6.84254543e-04 2.05276363e-03 ... 9.97491067e-01
 9.98403406e-01 1.00000000e+00]",[0.         0.00952381 0.01428571 ... 1.         1.         1.        ],"[1.99992727e+00 9.99927273e-01 9.90327273e-01 ... 3.03030303e-05
 2.72727273e-05 0.00000000e+00]"
022,038,038,0.7815487504208709,"[0.00000000e+00 6.84254543e-04 2.05276363e-03 ... 9.97491067e-01
 9.98403406e-01 1.00000000e+00]",[0.         0.00952381 0.01428571 ... 1.         1.         1.        ],"[1.99992245e+00 9.99922449e-01 9.92020408e-01 ... 3.87755102e-05
 2.24489796e-05 0.00000000e+00]"
051,045,002,0.6274082411037858,"[0.00000000e+00 6.84254543e-04 1.36850909e-03 ... 9.98327378e-01
 9.98403406e-01 1.00000000e+00]",[0.         0.00952381 0.01190476 ... 1.         1.         1.        ],"[1.99995204e+00 9.99952041e-01 9.92926531e-01 ... 4.59183673e-05
 2.04081633e-06 0.00000000e+00]"
053,001,044,0.8053072266692735,"[0.00000000e+00 6.84254543e-04 1.36850909e-03 ... 9.97643123e-01
 9.98403406e-01 1.00000000e+00]",[0.         0.00952381 0.01190476 ... 1.         1.         1.        ],"[1.99995408e+00 9.99954082e-01 9.99797959e-01 ... 2.04081633e-06
 1.02040816e-06 0.00000000e+00]"
046,050,002,0.6275970446720466,"[0.00000000e+00 6.84254543e-04 1.36850909e-03 ... 9.98327378e-01
 9.98403406e-01 1.00000000e+00]",[0.         0.00952381 0.01190476 ... 1.         1.         1.        ],"[1.99994694e+00 9.99946939e-01 9.92140816e-01 ... 4.69387755e-05
 2.04081633e-06 0.00000000e+00]"
057,024,017,0.7078146213248471,"[0.00000000e+00 6.84254543e-04 2.05276363e-03 ... 9.98365392e-01
 9.98403406e-01 1.00000000e+00]",[0.         0.00952381 0.01428571 ... 1.         1.         1.        ],"[1.99995816e+00 9.99958163e-01 9.79484694e-01 ... 2.44897959e-05
 1.73469388e-05 0.00000000e+00]"
002,003,094,0.8569514740435823,"[0.00000000e+00 6.84254543e-04 2.05276363e-03 ... 9.97491067e-01
 9.98403406e-01 1.00000000e+00]",[0.         0.00952381 0.01428571 ... 1.         1.         1.        ],"[1.99990202e+00 9.99902020e-01 9.99190909e-01 ... 3.03030303e-06
 2.02020202e-06 0.00000000e+00]"
